density,pop,county,state
13.166078145,16558,Sawyer,Wisconsin
54.10763675,18913,Green Lake,Wisconsin
10.646262077,13351,Price,Wisconsin
34.175105158,15574,Marquette,Wisconsin
28.83243346,40350,Marinette,Wisconsin
3916.3431575,945726,Milwaukee,Wisconsin
590.2498348,196311,Racine,Wisconsin
395.46405314,171907,Winnebago,Wisconsin
53.3640464,45368,Dunn,Wisconsin
8.8775525395,9004,Forest,Wisconsin
63.282897589,36960,Green,Wisconsin
44.85129779,51439,Grant,Wisconsin
15.519620134,14178,Rusk,Wisconsin
45.788020945,40899,Shawano,Wisconsin
225.48135799,115340,Sheboygan,Wisconsin
22.038632187,19189,Langlade,Wisconsin
12.739971429,4556,Menominee,Wisconsin
294.6853283,187885,Outagamie,Wisconsin
38.938207058,30822,Vernon,Wisconsin
19.282602889,13031,Buffalo,Wisconsin
75.151541441,57532,Columbia,Wisconsin
59.669323314,20434,Kewaunee,Wisconsin
261.23077678,118016,La Crosse,Wisconsin
499.04876688,264542,Brown,Wisconsin
164.04190404,104646,Eau Claire,Wisconsin
87.816412897,135692,Marathon,Wisconsin
31.954080063,35595,Oneida,Wisconsin
47.885862798,43783,Polk,Wisconsin
40.448593978,29649,Trempealeau,Wisconsin
19.721141206,15720,Washburn,Wisconsin
735.27858448,404198,Waukesha,Wisconsin
100.30751685,87839,Dodge,Wisconsin
187.00830568,103868,Walworth,Wisconsin
25.877126818,22195,Vilas,Wisconsin
28.267875038,16131,Crawford,Wisconsin
34.790346726,26687,Juneau,Wisconsin
134.02408587,78981,Manitowoc,Wisconsin
77.496909458,64442,Sauk,Wisconsin
315.88521545,136034,Washington,Wisconsin
18.761847345,15414,Burnett,Wisconsin
64.122230779,64658,Chippewa,Wisconsin
456.91738082,546695,Dane,Wisconsin
57.40694055,27668,Door,Wisconsin
33.083066459,43150,Douglas,Wisconsin
143.7019072,103403,Fond du Lac,Wisconsin
20.895524299,20643,Jackson,Wisconsin
31.045033631,23678,Iowa,Wisconsin
31.408579617,7287,Pepin,Wisconsin
382.89278435,89221,Ozaukee,Wisconsin
88.368284175,70772,Portage,Wisconsin
29.432762407,17252,Richland,Wisconsin
227.46671712,163354,Rock,Wisconsin
20.863517704,20343,Taylor,Wisconsin
39.036243568,24443,Waushara,Wisconsin
31.317458753,20220,Adams,Wisconsin
10.174075545,15036,Bayfield,Wisconsin
26.302579724,16665,Lafayette,Wisconsin
